0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:43:21 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg/richfaces/renderkit/html/scripts/calendar.js.jsf HTTP/1.1" 200 62224
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:43:21 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg/richfaces/renderkit/html/scripts/scriptaculous/effects.js.jsf HTTP/1.1" 200 29819
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:43:21 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg/richfaces/renderkit/html/scripts/utils.js.jsf HTTP/1.1" 200 8553
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:43:21 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTscript/gmap.js.jsf HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:43:21 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg/richfaces/renderkit/html/scripts/events.js.jsf HTTP/1.1" 200 2369
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:43:21 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg/richfaces/renderkit/html/scripts/JQuerySpinBtn.js.jsf HTTP/1.1" 200 3502
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:43:21 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg.richfaces.renderkit.html.iconimages.CalendarIcon/DATB/eAH7cW0fw6znAA8XBA4_.jsf HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:45:45 -0300] "GET /alarmeAndroid2/Teste2.jsf HTTP/1.1" 200 5508
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:45:45 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg/richfaces/renderkit/html/css/basic_classes.xcss/DATB/eAF7sqpgb-jyGdIAFrMEaw__.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:45:45 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg/richfaces/renderkit/html/css/extended_classes.xcss/DATB/eAF7sqpgb-jyGdIAFrMEaw__.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:45:45 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTcss/gmap.xcss/DATB/eAF7sqpgb-jyGdIAFrMEaw__.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:45:45 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg/richfaces/renderkit/html/css/calendar.xcss/DATB/eAF7sqpgb-jyGdIAFrMEaw__.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:45:45 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg.ajax4jsf.javascript.PrototypeScript.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:45:45 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg/richfaces/renderkit/html/scripts/events.js.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:45:45 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg/richfaces/renderkit/html/scripts/utils.js.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:45:45 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg/richfaces/renderkit/html/scripts/json/json-dom.js.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:45:45 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTscript/gmap.js.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:45:45 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg/richfaces/renderkit/html/scripts/scriptaculous/effects.js.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:45:45 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg/richfaces/renderkit/html/scripts/calendar.js.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:45:45 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg.ajax4jsf.javascript.AjaxScript.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:45:45 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg/richfaces/renderkit/html/scripts/jquery/jquery.js.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:45:45 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg/richfaces/renderkit/html/scripts/JQuerySpinBtn.js.jsf HTTP/1.1" 304 -
